envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
142	1038000	1014000	774000	1014000	1254000	1134000	
143	1035000	1011000	771000	1011000	1251000	1131000	
144	1032000	1008000	768000	1008000	1248000	1128000	
145	1077000	1005000	885000	1005000	1245000	1245000	
146	1098000	1122000	882000	1002000	1242000	1242000	
147	1095000	1119000	879000	999000	1239000	1239000	
148	1092000	1116000	876000	996000	1236000	1236000	
149	1089000	1113000	873000	993000	1233000	1233000	
150	1134000	1110000	990000	990000	1230000	1350000	
151	1131000	1107000	987000	987000	1227000	1347000	
152	1128000	1104000	984000	984000	1224000	1344000	
153	1125000	1101000	981000	981000	1221000	1341000	
154	1122000	1098000	978000	978000	1218000	1338000	
155	1143000	1095000	975000	1095000	1215000	1335000	
156	1164000	1092000	972000	1092000	1332000	1332000	
157	1185000	1089000	1089000	1089000	1329000	1329000	
158	1206000	1086000	1086000	1086000	1326000	1446000	
159	1227000	1083000	1083000	1083000	1323000	1563000	
160	1248000	1080000	1080000	1200000	1320000	1560000	
161	1245000	1077000	1077000	1197000	1317000	1557000	
162	1242000	1074000	1074000	1194000	1314000	1554000	
163	1239000	1071000	1071000	1191000	1311000	1551000	
164	1236000	1068000	1068000	1188000	1308000	1548000	
165	1281000	1065000	1065000	1185000	1425000	1665000	
166	1278000	1062000	1062000	1182000	1422000	1662000	
167	1275000	1059000	1059000	1179000	1419000	1659000	
168	1272000	1056000	1056000	1176000	1416000	1656000	
169	1293000	1053000	1173000	1173000	1413000	1653000	
170	1290000	1050000	1170000	1170000	1410000	1650000	
171	1287000	1047000	1167000	1167000	1407000	1647000	
172	1308000	1044000	1284000	1164000	1404000	1644000	
173	1353000	1041000	1401000	1281000	1401000	1641000	
174	1350000	1038000	1398000	1278000	1398000	1638000	
175	1347000	1035000	1395000	1275000	1395000	1635000	
176	1344000	1032000	1392000	1272000	1392000	1632000	
177	1365000	1029000	1389000	1389000	1389000	1629000	
178	1410000	1146000	1386000	1386000	1506000	1626000	
179	1431000	1143000	1503000	1383000	1503000	1623000	
180	1452000	1140000	1500000	1380000	1620000	1620000	
181	1473000	1137000	1617000	1377000	1617000	1617000	
182	1470000	1134000	1614000	1374000	1614000	1614000	
183	1467000	1131000	1611000	1371000	1611000	1611000	
184	1512000	1128000	1608000	1488000	1728000	1608000	
185	1533000	1125000	1605000	1485000	1845000	1605000	
186	1530000	1122000	1602000	1482000	1842000	1602000	
187	1599000	1239000	1599000	1599000	1959000	1599000	
188	1596000	1236000	1596000	1596000	1956000	1596000	
189	1641000	1233000	1593000	1713000	2073000	1593000	
190	1662000	1230000	1590000	1830000	2070000	1590000	
191	1659000	1227000	1587000	1827000	2067000	1587000	
192	1704000	1344000	1704000	1824000	2064000	1584000	
193	1725000	1341000	1701000	1941000	2061000	1581000	
194	1722000	1338000	1698000	1938000	2058000	1578000	
195	1719000	1335000	1695000	1935000	2055000	1575000	
196	1716000	1332000	1692000	1932000	2052000	1572000	
197	1737000	1449000	1689000	1929000	2049000	1569000	
198	1782000	1446000	1806000	1926000	2046000	1686000	
199	1779000	1443000	1803000	1923000	2043000	1683000	
200	1800000	1440000	1800000	1920000	2040000	1800000	
201	1845000	1437000	1917000	1917000	2157000	1797000	
202	1866000	1554000	1914000	1914000	2154000	1794000	
203	1887000	1551000	1911000	1911000	2151000	1911000	
204	1884000	1548000	1908000	1908000	2148000	1908000	
205	1905000	1545000	1905000	1905000	2265000	1905000	
206	1902000	1542000	1902000	1902000	2262000	1902000	
207	1923000	1539000	2019000	1899000	2259000	1899000	
208	1968000	1656000	2016000	2016000	2256000	1896000	
209	1965000	1653000	2013000	2013000	2253000	1893000	
210	1962000	1650000	2010000	2010000	2250000	1890000	
211	2007000	1767000	2007000	2127000	2247000	1887000	
212	2028000	1764000	2004000	2124000	2364000	1884000	
213	2025000	1761000	2001000	2121000	2361000	1881000	
214	2070000	1758000	1998000	2118000	2478000	1998000	
215	2091000	1875000	1995000	2115000	2475000	1995000	
216	2112000	1872000	1992000	2112000	2592000	1992000	
217	2133000	1869000	1989000	2109000	2709000	1989000	
218	2154000	1986000	1986000	2106000	2706000	1986000	
219	2175000	1983000	1983000	2103000	2823000	1983000	
220	2196000	1980000	1980000	2220000	2820000	1980000	
221	2217000	1977000	1977000	2217000	2817000	2097000	
222	2238000	1974000	1974000	2334000	2814000	2094000	
223	2259000	1971000	1971000	2451000	2811000	2091000	
224	2280000	2088000	1968000	2448000	2808000	2088000	
225	2301000	2205000	1965000	2445000	2805000	2085000	
226	2322000	2202000	1962000	2442000	2802000	2202000	
227	2319000	2199000	1959000	2439000	2799000	2199000	
