envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
135	1659000	1875000	1635000	1635000	1635000	1515000	
136	1680000	1872000	1632000	1632000	1632000	1632000	
137	1677000	1869000	1629000	1629000	1629000	1629000	
138	1674000	1866000	1626000	1626000	1626000	1626000	
139	1743000	1983000	1623000	1743000	1623000	1743000	
140	1764000	1980000	1620000	1860000	1620000	1740000	
141	1785000	1977000	1737000	1857000	1617000	1737000	
142	1782000	1974000	1734000	1854000	1614000	1734000	
143	1779000	1971000	1731000	1851000	1611000	1731000	
144	1776000	1968000	1728000	1848000	1608000	1728000	
145	1773000	1965000	1725000	1845000	1605000	1725000	
146	1818000	1962000	1842000	1842000	1602000	1842000	
147	1815000	1959000	1839000	1839000	1599000	1839000	
148	1860000	1956000	1956000	1836000	1716000	1836000	
149	1857000	1953000	1953000	1833000	1713000	1833000	
150	1854000	1950000	1950000	1830000	1710000	1830000	
151	1851000	1947000	1947000	1827000	1707000	1827000	
152	1872000	1944000	1944000	1824000	1704000	1944000	
153	1869000	1941000	1941000	1821000	1701000	1941000	
154	1890000	1938000	1938000	1938000	1698000	1938000	
155	1911000	1935000	2055000	1935000	1695000	1935000	
156	1908000	1932000	2052000	1932000	1692000	1932000	
157	1905000	1929000	2049000	1929000	1689000	1929000	
158	1902000	1926000	2046000	1926000	1686000	1926000	
159	1899000	1923000	2043000	1923000	1683000	1923000	
160	1920000	1920000	2160000	1920000	1680000	1920000	
161	1941000	1917000	2157000	2037000	1677000	1917000	
162	1962000	1914000	2154000	2154000	1674000	1914000	
163	1959000	1911000	2151000	2151000	1671000	1911000	
164	2004000	1908000	2148000	2148000	1788000	2028000	
165	2001000	1905000	2145000	2145000	1785000	2025000	
166	2022000	2022000	2142000	2142000	1782000	2022000	
167	2019000	2019000	2139000	2139000	1779000	2019000	
168	2040000	2016000	2136000	2136000	1896000	2016000	
169	2061000	2013000	2253000	2133000	1893000	2013000	
170	2058000	2010000	2250000	2130000	1890000	2010000	
171	2103000	2007000	2367000	2127000	1887000	2127000	
172	2124000	2004000	2484000	2124000	1884000	2124000	
173	2169000	2121000	2481000	2241000	1881000	2121000	
174	2190000	2118000	2478000	2358000	1878000	2118000	
175	2235000	2115000	2475000	2355000	1995000	2235000	
176	2256000	2112000	2472000	2472000	1992000	2232000	
177	2277000	2109000	2469000	2469000	1989000	2349000	
178	2298000	2106000	2586000	2466000	1986000	2346000	
179	2295000	2103000	2583000	2463000	1983000	2343000	
180	2340000	2100000	2700000	2460000	2100000	2340000	
181	2385000	2097000	2697000	2457000	2217000	2457000	
182	2406000	2094000	2694000	2454000	2214000	2574000	
183	2403000	2091000	2691000	2451000	2211000	2571000	
184	2400000	2088000	2688000	2448000	2208000	2568000	
185	2397000	2085000	2685000	2445000	2205000	2565000	
186	2442000	2082000	2682000	2442000	2322000	2682000	
187	2463000	2079000	2679000	2559000	2319000	2679000	
188	2508000	2076000	2676000	2556000	2436000	2796000	
189	2505000	2073000	2673000	2553000	2433000	2793000	
190	2526000	2070000	2670000	2670000	2430000	2790000	
191	2547000	2187000	2667000	2667000	2427000	2787000	
