fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240508 161412	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	470	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0185174055475019	0.899657565436273	2047	1000	18995	70795449.7751125	23
20240508 162248	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1246	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100429182126845	0.806368500895237	1540	1120	20059	70918952.023988	24
20240508 163055	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1119	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100134480284833	0.806960863207935	1752	1115	18634	71309094.4527736	25
20240508 163223	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	468	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.16661395521823	0.896494912563089	8	1693	19066	68940410.7946027	26
20240508 163630	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	422	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0245134012612062	0.814959720500529	1643	1184	16884	70624641.6791604	27
20240508 165023	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8315	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100616929918578	0.897365206280311	8	875	19880	70222128.9355322	28
20240508 165712	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	741	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100021363583569	0.806226699414653	1794	931	20213	71350085.4572714	29
20240508 170447	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	878	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100474090897788	0.797313660509403	1804	882	20323	71196877.0614693	30
20240508 171146	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1185	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100176451792051	0.675185774147543	1836	1999	19351	72605350.8245877	31
20240508 172145	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1719	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100200615913748	0.639591049505981	1942	2000	18575	71272781.1094453	32
20240508 173040	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1728	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101442177106649	0.737937555386832	1752	2000	19711	70817404.7976012	33
20240508 174143	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1301	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100110708858643	0.504760745038264	1720	1981	18547	71299569.7151424	34
20240508 180417	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4740	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100728285098104	0.501138905453942	11	1998	19944	70891658.1709145	35
20240508 181236	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1544	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100171643865037	0.626971050274025	1426	2000	19935	71098508.2458771	36
20240508 182215	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1378	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100164155741437	0.584753539777675	2039	1639	18211	70608439.2803598	37
20240508 182635	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2033	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0284190323746987	0.801230744242981	8	2000	20764	69811088.4557721	38
20240508 183436	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1415	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100185579162494	0.69654840861245	1827	1999	18559	70846658.1709145	39
20240508 191235	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8746	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100351388732159	0.50109707725266	9	780	20034	70480788.6056972	40
20240508 192146	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	752	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100037880058946	0.515362276146361	1684	955	18842	71556338.8305847	41
20240508 192942	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1008	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100130596817327	0.626667596746134	1717	949	19644	71214506.7466267	42
20240508 194158	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1520	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100149908507153	0.500301027428118	1263	1958	17578	71112056.9715142	43
20240508 194913	1055	290388	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	851	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100146637177497	0.657041610930636	1730	944	18577	72413827.5862069	44
