envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
142	1230000	1254000	1254000	1614000	1134000	894000	
143	1227000	1251000	1251000	1611000	1131000	891000	
144	1224000	1248000	1248000	1608000	1128000	888000	
145	1221000	1245000	1245000	1605000	1125000	885000	
146	1242000	1242000	1242000	1602000	1122000	1002000	
147	1263000	1239000	1239000	1599000	1119000	1119000	
148	1284000	1356000	1236000	1596000	1116000	1116000	
149	1281000	1353000	1233000	1593000	1113000	1113000	
150	1302000	1350000	1230000	1590000	1230000	1110000	
151	1323000	1347000	1227000	1707000	1227000	1107000	
152	1368000	1344000	1344000	1824000	1224000	1104000	
153	1413000	1461000	1341000	1821000	1221000	1221000	
154	1410000	1458000	1338000	1818000	1218000	1218000	
155	1431000	1455000	1335000	1935000	1215000	1215000	
156	1452000	1572000	1332000	1932000	1212000	1212000	
157	1449000	1569000	1329000	1929000	1209000	1209000	
158	1470000	1566000	1326000	1926000	1326000	1206000	
159	1467000	1563000	1323000	1923000	1323000	1203000	
160	1488000	1680000	1320000	1920000	1320000	1200000	
161	1509000	1677000	1317000	2037000	1317000	1197000	
162	1530000	1794000	1314000	2034000	1314000	1194000	
163	1551000	1791000	1431000	2031000	1311000	1191000	
164	1548000	1788000	1428000	2028000	1308000	1188000	
165	1593000	1905000	1545000	2025000	1305000	1185000	
166	1590000	1902000	1542000	2022000	1302000	1182000	
167	1611000	1899000	1659000	2019000	1299000	1179000	
168	1608000	1896000	1656000	2016000	1296000	1176000	
169	1605000	1893000	1653000	2013000	1293000	1173000	
170	1602000	1890000	1650000	2010000	1290000	1170000	
171	1599000	1887000	1647000	2007000	1287000	1167000	
172	1596000	1884000	1644000	2004000	1284000	1164000	
173	1641000	2001000	1641000	2001000	1281000	1281000	
174	1662000	1998000	1638000	1998000	1398000	1278000	
175	1683000	1995000	1635000	1995000	1515000	1275000	
176	1680000	1992000	1632000	1992000	1512000	1272000	
177	1677000	1989000	1629000	1989000	1509000	1269000	
178	1698000	1986000	1746000	1986000	1506000	1266000	
179	1695000	1983000	1743000	1983000	1503000	1263000	
180	1716000	1980000	1740000	1980000	1500000	1380000	
181	1713000	1977000	1737000	1977000	1497000	1377000	
182	1710000	1974000	1734000	1974000	1494000	1374000	
183	1731000	1971000	1731000	1971000	1491000	1491000	
184	1728000	1968000	1728000	1968000	1488000	1488000	
185	1749000	1965000	1725000	1965000	1485000	1605000	
186	1770000	1962000	1722000	1962000	1602000	1602000	
187	1767000	1959000	1719000	1959000	1599000	1599000	
188	1788000	1956000	1716000	1956000	1596000	1716000	
189	1809000	1953000	1713000	1953000	1593000	1833000	
190	1806000	1950000	1710000	1950000	1590000	1830000	
191	1803000	1947000	1707000	1947000	1587000	1827000	
192	1800000	1944000	1704000	1944000	1584000	1824000	
193	1821000	1941000	1701000	1941000	1701000	1821000	
194	1842000	1938000	1698000	2058000	1698000	1818000	
195	1839000	1935000	1695000	2055000	1695000	1815000	
196	1860000	1932000	1692000	2052000	1812000	1812000	
197	1905000	1929000	1809000	2169000	1809000	1809000	
198	1950000	1926000	1806000	2166000	1926000	1926000	
199	1947000	1923000	1803000	2163000	1923000	1923000	
200	1944000	1920000	1800000	2160000	1920000	1920000	
201	1941000	1917000	1797000	2157000	1917000	1917000	
202	1986000	2034000	1794000	2154000	1914000	2034000	
203	1983000	2031000	1791000	2151000	1911000	2031000	
204	2004000	2028000	1788000	2148000	2028000	2028000	
205	2025000	2025000	1785000	2265000	2025000	2025000	
206	2022000	2022000	1782000	2262000	2022000	2022000	
207	2043000	2139000	1779000	2259000	2019000	2019000	
208	2064000	2136000	1776000	2256000	2136000	2016000	
209	2085000	2133000	1773000	2253000	2133000	2133000	
210	2082000	2130000	1770000	2250000	2130000	2130000	
211	2079000	2127000	1767000	2247000	2127000	2127000	
212	2100000	2124000	1764000	2244000	2124000	2244000	
213	2121000	2121000	1761000	2361000	2121000	2241000	
214	2118000	2118000	1758000	2358000	2118000	2238000	
215	2187000	2235000	1755000	2355000	2235000	2355000	
216	2184000	2232000	1752000	2352000	2232000	2352000	
217	2181000	2229000	1749000	2349000	2229000	2349000	
218	2178000	2226000	1746000	2346000	2226000	2346000	
219	2199000	2223000	1743000	2343000	2343000	2343000	
220	2220000	2220000	1740000	2340000	2460000	2340000	
221	2265000	2337000	1737000	2457000	2457000	2337000	
222	2286000	2334000	1854000	2454000	2454000	2334000	
223	2331000	2451000	1851000	2571000	2451000	2331000	
224	2400000	2568000	1968000	2568000	2568000	2328000	
225	2397000	2565000	1965000	2565000	2565000	2325000	
226	2394000	2562000	1962000	2562000	2562000	2322000	
227	2391000	2559000	1959000	2559000	2559000	2319000	
228	2388000	2556000	1956000	2556000	2556000	2316000	
229	2409000	2553000	1953000	2673000	2553000	2313000	
230	2406000	2550000	1950000	2670000	2550000	2310000	
231	2451000	2667000	1947000	2787000	2547000	2307000	
232	2448000	2664000	1944000	2784000	2544000	2304000	
233	2493000	2661000	2061000	2901000	2541000	2301000	
234	2490000	2658000	2058000	2898000	2538000	2298000	
235	2487000	2655000	2055000	2895000	2535000	2295000	
236	2484000	2652000	2052000	2892000	2532000	2292000	
237	2553000	2769000	2169000	2889000	2529000	2409000	
238	2550000	2766000	2166000	2886000	2526000	2406000	
239	2547000	2763000	2163000	2883000	2523000	2403000	
240	2544000	2760000	2160000	2880000	2520000	2400000	
241	2565000	2877000	2157000	2877000	2517000	2397000	
242	2586000	2874000	2154000	2874000	2634000	2394000	
243	2607000	2871000	2151000	2871000	2751000	2391000	
244	2604000	2868000	2148000	2868000	2748000	2388000	
245	2625000	2865000	2265000	2865000	2745000	2385000	
246	2646000	2862000	2382000	2862000	2742000	2382000	
247	2667000	2859000	2379000	2859000	2859000	2379000	
248	2664000	2856000	2376000	2856000	2856000	2376000	
249	2685000	2973000	2373000	2853000	2853000	2373000	
250	2706000	3090000	2370000	2850000	2850000	2370000	
251	2775000	3087000	2367000	2967000	2967000	2487000	
252	2820000	3084000	2364000	3084000	2964000	2604000	
253	2817000	3081000	2361000	3081000	2961000	2601000	
254	2886000	3078000	2478000	3198000	2958000	2718000	
255	2883000	3075000	2475000	3195000	2955000	2715000	
256	2904000	3072000	2472000	3192000	3072000	2712000	
257	2901000	3069000	2469000	3189000	3069000	2709000	
258	2922000	3186000	2466000	3186000	3066000	2706000	
259	2943000	3183000	2463000	3183000	3063000	2823000	
260	2940000	3180000	2460000	3180000	3060000	2820000	
261	2937000	3177000	2457000	3177000	3057000	2817000	
262	2934000	3174000	2454000	3174000	3054000	2814000	
263	2955000	3171000	2451000	3171000	3171000	2811000	
264	3e+06	3168000	2568000	3168000	3288000	2808000	
265	2997000	3165000	2565000	3165000	3285000	2805000	
266	3042000	3162000	2682000	3162000	3402000	2802000	
267	3063000	3279000	2679000	3159000	3399000	2799000	
268	3060000	3276000	2676000	3156000	3396000	2796000	
269	3057000	3273000	2673000	3153000	3393000	2793000	
270	3054000	3270000	2670000	3150000	3390000	2790000	
271	3099000	3387000	2667000	3267000	3387000	2787000	
272	3144000	3384000	2784000	3264000	3384000	2904000	
273	3141000	3381000	2781000	3261000	3381000	2901000	
274	3162000	3378000	2778000	3378000	3378000	2898000	
275	3159000	3375000	2775000	3375000	3375000	2895000	
276	3156000	3372000	2772000	3372000	3372000	2892000	
277	3153000	3369000	2769000	3369000	3369000	2889000	
278	3174000	3366000	2886000	3366000	3366000	2886000	
279	3195000	3363000	2883000	3483000	3363000	2883000	
280	3216000	3360000	3e+06	3480000	3360000	2880000	
281	3213000	3357000	2997000	3477000	3357000	2877000	
282	3234000	3354000	2994000	3474000	3474000	2874000	
