fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240510 011311	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	554	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101469517099534	0.500521860970766	1838	1248	8994	30051283.3583208	23
20240510 012024	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	549	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0102344315669033	0.500155415179818	1860	1298	9307	29922658.1709145	24
20240510 012530	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	521	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0102059774692087	0.689086877766844	2022	1155	9751	30261062.9685157	25
20240510 012859	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	214	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0716907657354192	0.698744692602758	2046	1143	8841	28345305.8470765	26
20240510 013742	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	701	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100491901486514	0.514171980136001	1974	839	9056	30556137.9310345	27
20240510 014844	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	473	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.010010892497751	0.643117222907113	1652	262	8905	30212316.3418291	28
20240510 015148	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0636595848582294	0.528063660640563	236	1016	9931	28972997.0014993	29
20240510 015826	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	351	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100086289579695	0.565540713282923	1952	699	8765	29401251.874063	30
20240510 020602	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	344	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100103963718664	0.500531719896464	2034	448	9982	29801766.1169415	31
20240510 021355	1055	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	550	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100049688389512	0.513335077470758	1964	867	9712	30524149.9250375	32
