envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
141	1233000	1137000	1137000	1377000	1257000	1257000	
142	1230000	1134000	1134000	1374000	1254000	1254000	
143	1227000	1131000	1131000	1371000	1251000	1251000	
144	1248000	1128000	1128000	1368000	1248000	1368000	
145	1269000	1125000	1125000	1365000	1245000	1485000	
146	1290000	1122000	1122000	1362000	1362000	1482000	
147	1287000	1119000	1119000	1359000	1359000	1479000	
148	1356000	1236000	1236000	1476000	1356000	1476000	
149	1377000	1233000	1233000	1593000	1353000	1473000	
150	1374000	1230000	1230000	1590000	1350000	1470000	
151	1371000	1227000	1227000	1587000	1347000	1467000	
152	1368000	1224000	1224000	1584000	1344000	1464000	
153	1365000	1221000	1221000	1581000	1341000	1461000	
154	1386000	1338000	1218000	1578000	1338000	1458000	
155	1383000	1335000	1215000	1575000	1335000	1455000	
156	1380000	1332000	1212000	1572000	1332000	1452000	
157	1377000	1329000	1209000	1569000	1329000	1449000	
158	1422000	1326000	1206000	1686000	1326000	1566000	
159	1467000	1323000	1323000	1683000	1443000	1563000	
160	1488000	1320000	1440000	1680000	1440000	1560000	
161	1485000	1317000	1437000	1677000	1437000	1557000	
162	1506000	1314000	1434000	1674000	1434000	1674000	
163	1527000	1311000	1431000	1791000	1431000	1671000	
164	1524000	1308000	1428000	1788000	1428000	1668000	
165	1593000	1305000	1545000	1785000	1545000	1785000	
166	1614000	1422000	1542000	1782000	1542000	1782000	
167	1611000	1419000	1539000	1779000	1539000	1779000	
168	1608000	1416000	1536000	1776000	1536000	1776000	
169	1629000	1413000	1533000	1893000	1533000	1773000	
170	1626000	1410000	1530000	1890000	1530000	1770000	
171	1647000	1407000	1527000	1887000	1527000	1887000	
172	1692000	1524000	1524000	1884000	1644000	1884000	
173	1713000	1521000	1641000	1881000	1641000	1881000	
174	1710000	1518000	1638000	1878000	1638000	1878000	
175	1707000	1515000	1635000	1875000	1635000	1875000	
176	1704000	1512000	1632000	1872000	1632000	1872000	
177	1725000	1509000	1629000	1869000	1629000	1989000	
178	1746000	1626000	1626000	1866000	1626000	1986000	
179	1743000	1623000	1623000	1863000	1623000	1983000	
180	1764000	1620000	1620000	1860000	1740000	1980000	
181	1785000	1617000	1617000	1857000	1857000	1977000	
182	1806000	1614000	1734000	1854000	1854000	1974000	
183	1827000	1611000	1851000	1851000	1851000	1971000	
184	1824000	1608000	1848000	1848000	1848000	1968000	
185	1845000	1605000	1845000	1965000	1845000	1965000	
186	1866000	1602000	1842000	2082000	1842000	1962000	
187	1863000	1599000	1839000	2079000	1839000	1959000	
188	1884000	1596000	1836000	2076000	1836000	2076000	
189	1881000	1593000	1833000	2073000	1833000	2073000	
190	1878000	1590000	1830000	2070000	1830000	2070000	
191	1875000	1587000	1827000	2067000	1827000	2067000	
192	1872000	1584000	1824000	2064000	1824000	2064000	
193	1893000	1581000	1821000	2061000	1821000	2181000	
194	1890000	1578000	1818000	2058000	1818000	2178000	
195	1887000	1575000	1815000	2055000	1815000	2175000	
196	1908000	1692000	1812000	2052000	1812000	2172000	
197	1905000	1689000	1809000	2049000	1809000	2169000	
198	1902000	1686000	1806000	2046000	1806000	2166000	
199	1899000	1683000	1803000	2043000	1803000	2163000	
200	1896000	1680000	1800000	2040000	1800000	2160000	
201	1893000	1677000	1797000	2037000	1797000	2157000	
202	1962000	1794000	1914000	2154000	1794000	2154000	
203	2007000	1791000	1911000	2271000	1791000	2271000	
204	2052000	1908000	1908000	2268000	1908000	2268000	
205	2073000	2025000	1905000	2265000	1905000	2265000	
206	2094000	2022000	1902000	2262000	2022000	2262000	
207	2115000	2019000	1899000	2379000	2019000	2259000	
208	2136000	2016000	2016000	2376000	2016000	2256000	
