envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
146	1050000	1122000	1122000	1122000	1122000	762000	
147	1095000	1239000	1119000	1119000	1119000	879000	
148	1116000	1236000	1236000	1116000	1116000	876000	
149	1137000	1233000	1233000	1113000	1113000	993000	
150	1158000	1230000	1230000	1230000	1110000	990000	
151	1203000	1347000	1347000	1227000	1107000	987000	
152	1200000	1344000	1344000	1224000	1104000	984000	
153	1197000	1341000	1341000	1221000	1101000	981000	
154	1218000	1338000	1338000	1218000	1218000	978000	
155	1215000	1335000	1335000	1215000	1215000	975000	
156	1236000	1332000	1332000	1212000	1332000	972000	
157	1233000	1329000	1329000	1209000	1329000	969000	
158	1278000	1326000	1446000	1206000	1446000	966000	
159	1299000	1443000	1443000	1203000	1443000	963000	
160	1296000	1440000	1440000	1200000	1440000	960000	
161	1317000	1557000	1437000	1197000	1437000	957000	
162	1314000	1554000	1434000	1194000	1434000	954000	
163	1311000	1551000	1431000	1191000	1431000	951000	
164	1332000	1548000	1428000	1188000	1428000	1068000	
165	1353000	1665000	1425000	1185000	1425000	1065000	
166	1374000	1662000	1422000	1302000	1422000	1062000	
167	1395000	1659000	1419000	1419000	1419000	1059000	
168	1464000	1776000	1416000	1416000	1536000	1176000	
169	1485000	1773000	1413000	1413000	1533000	1293000	
170	1530000	1890000	1530000	1410000	1530000	1290000	
171	1527000	1887000	1527000	1407000	1527000	1287000	
172	1548000	1884000	1644000	1404000	1524000	1284000	
173	1545000	1881000	1641000	1401000	1521000	1281000	
174	1542000	1878000	1638000	1398000	1518000	1278000	
175	1563000	1875000	1635000	1515000	1515000	1275000	
176	1560000	1872000	1632000	1512000	1512000	1272000	
177	1557000	1869000	1629000	1509000	1509000	1269000	
178	1578000	1866000	1626000	1626000	1506000	1266000	
179	1599000	1983000	1623000	1623000	1503000	1263000	
180	1596000	1980000	1620000	1620000	1500000	1260000	
181	1617000	1977000	1617000	1617000	1617000	1257000	
182	1614000	1974000	1614000	1614000	1614000	1254000	
183	1659000	1971000	1731000	1611000	1731000	1251000	
184	1680000	1968000	1728000	1728000	1728000	1248000	
185	1701000	1965000	1725000	1725000	1725000	1365000	
186	1698000	1962000	1722000	1722000	1722000	1362000	
187	1791000	2079000	1839000	1839000	1719000	1479000	
188	1812000	2196000	1836000	1836000	1716000	1476000	
189	1833000	2313000	1833000	1833000	1713000	1473000	
190	1854000	2310000	1950000	1830000	1710000	1470000	
191	1851000	2307000	1947000	1827000	1707000	1467000	
192	1872000	2424000	1944000	1824000	1704000	1464000	
193	1917000	2421000	2061000	1941000	1701000	1461000	
194	1962000	2418000	2178000	1938000	1698000	1578000	
195	2007000	2415000	2175000	2055000	1815000	1575000	
196	2028000	2412000	2172000	2052000	1812000	1692000	
197	2049000	2409000	2169000	2169000	1809000	1689000	
198	2046000	2406000	2166000	2166000	1806000	1686000	
199	2043000	2403000	2163000	2163000	1803000	1683000	
200	2064000	2400000	2280000	2160000	1800000	1680000	
201	2061000	2397000	2277000	2157000	1797000	1677000	
202	2058000	2394000	2274000	2154000	1794000	1674000	
203	2079000	2511000	2271000	2151000	1791000	1671000	
204	2076000	2508000	2268000	2148000	1788000	1668000	
205	2097000	2505000	2265000	2145000	1785000	1785000	
206	2094000	2502000	2262000	2142000	1782000	1782000	
207	2115000	2499000	2259000	2259000	1779000	1779000	
208	2160000	2496000	2256000	2256000	1896000	1896000	
209	2157000	2493000	2253000	2253000	1893000	1893000	
210	2178000	2490000	2250000	2250000	2010000	1890000	
211	2175000	2487000	2247000	2247000	2007000	1887000	
212	2220000	2484000	2364000	2244000	2124000	1884000	
