fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240509 023227	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	61	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0882400836684521	0.704496832516648	1546	1998	20263	84759905.5472264	23
20240509 023847	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	362	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100768513906774	0.500906235901191	796	1385	19210	85036326.8365817	24
20240509 024354	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	511	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100056537294255	0.605209659462744	2039	1543	19649	85443044.9775112	25
20240509 025113	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	580	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100161064824887	0.500228797276067	1873	1885	18168	85305175.4122939	26
20240509 025448	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	142	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0366489724665894	0.500354461008302	1728	1611	19039	85022970.0149925	27
20240509 030127	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1064	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101354263354278	0.809245328180738	2042	1998	20262	85596788.6056972	28
20240509 030559	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	460	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0100583626801994	0.755519964375506	1892	2000	19752	84713775.1124438	29
20240509 031248	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	401	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0101459418722927	0.500958447841571	2045	1060	20558	85344230.8845577	30
20240509 031516	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	164	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0361620036937673	0.683144500699584	2048	1767	20268	84952221.8890555	31
20240509 031814	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	104	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0676758762847931	0.500223131498674	542	2000	19753	85706997.0014993	32
20240509 032055	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	74	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.113320139268299	0.500434254870206	621	2000	17572	84107208.3958021	33
20240509 032502	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	473	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0382261913787296	0.500304544310315	12	1937	17436	84806722.6386807	34
20240509 032656	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	64	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0585307080487862	0.751675644629747	639	2000	19332	83751106.4467766	35
20240509 033213	1054	293745	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	315	1	1	1	FALSE	1	0.1	50	0.5	FALSE	110251	0.0134950104129048	0.501221761834521	2048	1998	17824	84812377.8110944	36
